Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Government Treasury BARIA VUNG TAU,VNM,3556862,USD,Perenco Overseas Holdings Limited,07517072,2015-12-31,1,,Extractives Report,,17 Oct 2016
Government Treasury HCMC,VNM,98407194,USD,Perenco Overseas Holdings Limited,07517072,2015-12-31,1,,Extractives Report,,17 Oct 2016
Petrovietnam Exploration Production Corporation Ltd,VNM,29116040,USD,Perenco Overseas Holdings Limited,07517072,2015-12-31,1,,Extractives Report,,17 Oct 2016
