ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Societe Miniere de Dinguiraye,GIN001,13599894,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Societe des Mines de Taparko,BFA001,7039649,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Bissa Gold SA,BFA002,33307078,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Jilbey Burkina SARL,BFA003,142747,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
"""FIC ""Alel"" JSC",KAZ001,9828257,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Mine Aprelkovo CJSC,RUS001,1137945,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Neryungri-Metallic LLC,RUS002,4544280,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Buryatzoloto JSC,RUS003,20239845,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
Berezitovy rudnik LLC,RUS004,26427865,USD,Nord Gold SE,SE000102,2015-12-31,1,,REPORT ON PAYMENTS TO GOVERNMENTS,,16 Nov 2016
