Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Kazakhstan State Revenue Committee,KAZ,104134,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
Kazakhstan Local Authority,KAZ,14321,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
Kyrgyzstan State Tax Administration,KGZ,1144,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
Kyrgyzstan Local Authority - Alabuka Region,KGZ,430,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
United Kingdom HMRC,GBR,6364,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
Hong Kong - Inland Revenue Department,HKG,145,USD,KAZ Minerals PLC,05180783,2015-12-31,1,in thousands of dollars,Report on Payments to Governments,,28 Nov 2016
