Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Vietnam,VIR,238574000,USD,Soco International PLC,03300821,2015-12-31,1,,Extractives Report,,13 Jul 2016
Republic of Congo,COG,760000,USD,Soco International PLC,03300821,2015-12-31,1,,Extractives Report,,13 Jul 2016
Democratic Republic of Congo ,COG,1097000,USD,Soco International PLC,03300821,2015-12-31,1,,Extractives Report,,13 Jul 2016
