Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
HM Revenue & Customs,GBR,-4577125,GBP,CONOCOPHILLIPS PETROLEUM COMPANY U.K. LIMITED,00792712,2015-12-31,1,,Extractives Report,,10 Nov 2016
Department of Energy and Climate Change,GBR,594983,GBP,CONOCOPHILLIPS PETROLEUM COMPANY U.K. LIMITED,00792712,2015-12-31,1,,Extractives Report,,10 Nov 2016
