CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
GBR,HM Revenue & Custom ,Tax,,0,,GBP,-15730240,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,Department of Energy and Climate Change - DECC,Fees,,0,,GBP,2641471,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,Department of Energy and Climate Change - DECC,Fees,,0,,GBP,677250,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,HM Revenue & Custom ,Tax,,0,,GBP,-6556311,Repsol Sinopec Resources UK Limited,00825828,Respsol Sinopec North Sea Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,Department of Energy and Climate Change - DECC,Fees,,0,,GBP,99611,Repsol Sinopec Resources UK Limited,00825828,Respsol Sinopec North Sea Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,HM Revenue & Custom ,Tax,,0,,GBP,-7393614,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Oil Trading Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,Department of Energy and Climate Change - DECC,Fees,,0,,GBP,69392,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Oil Trading Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,HM Revenue & Custom ,Tax,,0,,GBP,-14397147,Repsol Sinopec Resources UK Limited,00825828,Transworld Petroleum UK Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
GBR,HM Revenue & Custom ,Tax,,0,,GBP,-15465776,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Alpha Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
