Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Direction Generale Des Imports,CMR,1501,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Egyptian General Petroleum Company,EGY,40749654,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Tax Office,NLD,4956828,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Petoro,NOR,-4010463,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Skatteetaten,NOR,-14045934,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
HMRC,GBR,-11831435,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
DECC,GBR,660432,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
OGA,GBR,201853,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
