Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
National government,GBR,1288000,GBP,Hills UK,00530623,2016-04-30,1,,Report on Payments to Governments,,08 Mar 2017
Regional/ local government,GBR,1719635,GBP,Hills UK,00530623,2016-04-30,1,,Report on Payments to Governments,,08 Mar 2017
