Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
National government,MWI,1641085,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,MYS,20643768,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,MYS,5304039,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,MUS,700225,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,MEX,227266,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,MEX,32011224,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,MDA,2163493,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,MAR,34365514,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,NZL,1496985,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,NIC,4405905,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,NGA,4103023,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,PHL,63692973,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,PHL,2633778,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,POL,20303884,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,ROU,10691988,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ROU,1418831,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,RUS,3195067,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,SRB,1427816,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,SRB,685209,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ZAF,1278969,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ESP,6588748,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,LKA,198912,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,LKA,650830,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,CHE,24174293,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,TZA,7214177,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,UGA,15691628,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,UGA,409747,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,UKR,390574,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,GBR,23887809,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,GBR,6983243,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,USA,9653455,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,USA,17178743,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,VNM,11032610,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,ZMB,25079086,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ZMB,378089,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,ZWE,576255,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
