Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Ministry of Natural Resources and Environmental Protection of Komi Republic,RUS,612000,EUR,MONDI PLC,06209386,2015-12-31,1,,Extractive Industry Reporting,,28 Jun 2016
Federal Tax Service of Russian Federation,RUS,97000,EUR,MONDI PLC,06209386,2015-12-31,1,,Extractive Industry Reporting,,28 Jun 2016
