ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Novo-Nikolaevskoye Complex,,20231000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
Elizavetovskoye field,,9932000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
Koshekhablskoye field,,1445000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
Appraisal and exploration,,-29000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
Payment at an entity level,,696000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
Exploration,,173000,USD,JKX Oil & Gas plc,03050645,2015-12-31,1,,Extractives Report,,10 Nov 2016
