ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Operated - Central North Sea,GBR002,-4025712,GBP,CONOCOPHILLIPS PETROLEUM COMPANY U.K. LIMITED,00792712,2015-12-31,1,,Extractives Report,,10 Nov 2016
Non Operated - Central North Sea and Southern North Sea,GBR006,43570,GBP,CONOCOPHILLIPS PETROLEUM COMPANY U.K. LIMITED,00792712,2015-12-31,1,,Extractives Report,,10 Nov 2016
