Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Burkina Faso National,BFA,4588000,USD,Avocet Mining PLC,03036214,2015-12-31,1,,Extractives Report,,16 Nov 2016
Giunea National,GIN,288000,USD,Avocet Mining PLC,03036214,2015-12-31,1,,Extractives Report,,16 Nov 2016
