Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Government of Chile,CHL,277888000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Government of United States,USA,53000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
State of Minnesota,USA,210000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
