+Government+CountryCode+Amount+Currency+CompanyName+CompanyNumber+ReportEndDate+Version+Notes+ReportName+ReportNotes+FilingDate
0+Office of State Revenue+AUS+2936000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
1+Office of State Revenue+AUS+793000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
2+Queensland Government+AUS+3964000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
3+Department of Natural Resources and Mines+AUS+2655000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
4+Western Downs Regional Council+AUS+9640000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
5+Western Downs Regional Council+AUS+19263000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
6+Toowoomba Regional Council+AUS+846000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
7+North Burnett Regional Council+AUS+122000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
8+Banana Shire Council+AUS+506000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
9+National General Treasury+BOL+13344000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
10+Internal Revenue Services+BOL+61788000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
11+Ministerio de Hidrocarburos y Energía+BOL+249000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
12+Yacimientos Petroliferous Fiscales Bolivianos+BOL+8241000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
13+Agência Nacional do Petróleo+BRA+771000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
14+Secretaria da Receita Federal do Brasil+BRA+70975000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
15+Secretaria da Receita Federal do Brasil+BRA+537757000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
16+Egyptian Tax Authority+EGY+14315000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
17+Egyptian General Petroleum Company+EGY+477019000+USD+BG Group Ltd+3690065.0+2015-12-31+1+In kind payments+Extractives Report++27 Jun 2016
18+Income Tax Department+IND+23502000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
19+Ministry of Petroleum and Natural Gas+IND+81145000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
20+Ministry of Petroleum and Natural Gas+IND+42313000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
21+Central Board of Excise and Customs+IND+12455000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
22+State Revenue Committee of the Ministry of Finance of the Republic of Kazakhstan+KAZ+194629000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
23+Ministry of Energy+KEN+528000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
24+Oil Tax Office+NOR+-24642000+USD+BG Group Ltd+3690065.0+2015-12-31+1+Amounts recieved from government+Extractives Report++27 Jun 2016
25+Oiljedirektorater+NOR+768000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
26+Tanzania Petroleum Development Corporation+TZA+537000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
27+Revenue Department+THA+160577000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
28+Department of Minerals Fuels+THA+77911000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
29+Ministry of Energy+THA+24812000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
30+Ministry of Energy and Energy Industries+TTO+205285000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
31+Ministry of Energy and Energy Industries+TTO+5951000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
32+Ministry of Energy and Energy Industries+TTO+6740000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
33+Ministry of Finance - Inland Revenue Division+TTO+11761000+USD+BG Group Ltd+3690065.0+2015-12-31+1++Extractives Report++27 Jun 2016
