CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
NAM,Namibia - National,Tax,,,,USD,6659000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
NAM,Namibia - National,Royalties,,,,USD,1043000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
PER,Peru - National,Tax,,,,USD,54204000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
PER,Peru - National,Royalties,,,,USD,28825000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
PER,Peru - National,Fees,,,,USD,1880000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
PER,Peru - Local - Lima,Fees,,,,USD,4716000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
ZAF,South Africa - National ,Royalties,,,,USD,11974011,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
ZAF,South Africa - National ,Infrastructure,,,,USD,2098988,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
TZA,Tanzania - National,Fees,,,,USD,206000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
ZMB,Zambia - National,Tax,,,,USD,270000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
ZMB,Zambia - National,Royalties,,,,USD,41885000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
ZMB,Zambia - National,Fees,,,,USD,4000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
