Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,GBR,1017408,GBP,CNR International (U.K.) Investments Limited (consolidating CNR International UK Limited and CNR International Developments Limited),01293529,2015-12-31,1,,Extractives Report,,24 Nov 2016
HEALTH AND SAFETY EXECUTIVE,GBR,546874,GBP,CNR International (U.K.) Investments Limited (consolidating CNR International UK Limited and CNR International Developments Limited),01293529,2015-12-31,1,,Extractives Report,,24 Nov 2016
HM REVENUE AND CUSTOMS,GBR,-193115226,GBP,CNR International (U.K.) Investments Limited (consolidating CNR International UK Limited and CNR International Developments Limited),01293529,2015-12-31,1,,Extractives Report,,24 Nov 2016
