ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Magnus Project,GBR001,15156689,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Brae Project,GBR002,363435,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
East Brae Project,GBR003,435043,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Licence P1850 Project,GBR004,96551,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Licence P2016 Project,GBR005,10773,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Licence P2024 Project,GBR006,114041,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Licence P312 Project,GBR007,109663,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
