ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Athena,P.1293,212823,GBP,Ithaca Energy (UK) Ltd,SC272009,2015-12-31,1,,Extractives Report,,16 Nov 2016
Anglia,P.128,59228,GBP,Ithaca Energy (UK) Ltd,SC272009,2015-12-31,1,,Extractives Report,,16 Nov 2016
Anglia,P.1011,51620,GBP,Ithaca Energy (UK) Ltd,SC272009,2015-12-31,1,,Extractives Report,,16 Nov 2016
Wytch Farm,P.534/PL089,3328077,GBP,Ithaca Energy (UK) Ltd,SC272009,2015-12-31,1,,Extractives Report,,16 Nov 2016
