CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
EGY,National government,Fees,,0,,CHF,15031972,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
EGY,National government,Tax,,0,,CHF,15510776,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
EGY,Regional/ local government,Fees,,0,,CHF,152190,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
SLV,National government,Tax,,0,,CHF,17747436,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
SLV,Regional/ local government,Fees,,0,,CHF,872263,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
SLV,Regional/ local government,Tax,,0,,CHF,203409,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
FRA,National government,Tax,,0,,CHF,12324179,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
FRA,Regional/ local government,Fees,,0,,CHF,118514,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
FRA,Regional/ local government,Tax,,0,,CHF,982280,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DEU,National government,Fees,,0,,CHF,413198,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DEU,National government,Tax,,0,,CHF,2421533,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DEU,Regional/ local government,Fees,,0,,CHF,1164856,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DEU,Regional/ local government,Royalties,,0,,CHF,593639,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DEU,Regional/ local government,Tax,,0,,CHF,349136,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
GRC,National government,Tax,,0,,CHF,564811,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
GRC,Regional/ local government,Fees,,0,,CHF,1809744,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
GRC,Regional/ local government,Royalties,,0,,CHF,2390570,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
HUN,National government,Tax,,0,,CHF,296989,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
HUN,Regional/ local government,Tax,,0,,CHF,390354,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IND,National government,Royalties,,0,,CHF,15913931,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IND,National government,Tax,,0,,CHF,176828676,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IND,Regional/ local government,Infrastructure,,0,,CHF,702434,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IND,Regional/ local government,Royalties,,0,,CHF,52371864,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IDN,National government,Fees,,0,,CHF,9016069,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IDN,National government,Tax,,0,,CHF,8878891,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IDN,Regional/ local government,Fees,,0,,CHF,3065484,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IDN,Regional/ local government,Royalties,,0,,CHF,2616674,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IDN,Regional/ local government,Tax,,0,,CHF,923031,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IRQ,National government,Fees,,0,,CHF,10671355,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IRQ,National government,ProductionEntitlements,,0,,CHF,30828743,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IRQ,National government,Royalties,,0,,CHF,1761610,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
IRQ,National government,Tax,,0,,CHF,2950713,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
ITA,Regional/ local government,Fees,,0,,CHF,593639,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
ITA,Regional/ local government,Tax,,0,,CHF,880849,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
JOR,National government,ProductionEntitlements,,0,,CHF,290396,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
JOR,National government,Tax,,0,,CHF,1381415,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
KEN,National government,Infrastructure,,0,,CHF,837728,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
KEN,National government,Royalties,,0,,CHF,2988024,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
KEN,National government,Tax,,0,,CHF,15785180,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
KEN,Regional/ local government,ProductionEntitlements,,0,,CHF,741720,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
LBN,National government,Tax,,0,,CHF,10097936,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
LBN,Regional/ local government,Tax,,0,,CHF,662743,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MDG,National government,Tax,,0,,CHF,1217158,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MDG,Regional/ local government,Fees,,0,,CHF,441664,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MWI,National government,Tax,,0,,CHF,1641085,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MYS,National government,Tax,,0,,CHF,20643768,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MYS,Regional/ local government,Fees,,0,,CHF,360130,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MYS,Regional/ local government,Royalties,,0,,CHF,4943909,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MUS,National government,Fees,,0,,CHF,399381,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
MUS,National government,Tax,,0,,CHF,300844,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
