ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Debeslavetska Production licence area,0,765099,USD,Cadogan Petroleum PLC,05718406,2015-12-31,2,0,Extractives Report,-,29 Nov 2016
Monastyretska licence area,0,241227,USD,Cadogan Petroleum PLC,05718406,2015-12-31,2,0,Extractives Report,-,29 Nov 2016
Cheremkhivska Production licence area,0,193346,USD,Cadogan Petroleum PLC,05718406,2015-12-31,2,0,Extractives Report,-,29 Nov 2016
Slobodo-Rungurska licence area,0,5000,USD,Cadogan Petroleum PLC,05718406,2015-12-31,2,0,Extractives Report,-,29 Nov 2016
