Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Name for Tanzania National Recipient,TZA,124185000,USD,Acacia Mining PLC,07123187,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for Tanzania Local Dar es Salaam Recipient,TZA,2234000,USD,Acacia Mining PLC,07123187,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for Kenya National Recipient,KEN,644000,USD,Acacia Mining PLC,07123187,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for South Africa National Recipient,ZAF,1013000,USD,Acacia Mining PLC,07123187,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for United Kingdom National Recipient,GBR,4049000,USD,Acacia Mining PLC,07123187,2015-12-31,1,,Extractives Report,,06 Dec 2016
