ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Piedemonte,COL001,139022049,USD,EQUION ENERGIA LIMITED,00629687,2015-12-31,1,"Includes gross oil royalties payments in kind as operator of joint venture of $118,3 million, and gas royalties payments in money of $ 20,7 million ",Extractives Report,"Equion Energia Limited has prepared the consolidated report on payments made to governments in relation to relevant activities of both Equion Energia Limited and any of its subsidiary undertakings included in the consolidated group accounts: Equion Energia Limited (Colombia Branch), Colombia Pipelines, Santiago Oil Company, Santiago Oil Company (Colombia Branch), Sento S.A.S., Proyectos ODC N1 S.A.S.",31 Oct 2016
Tauramena,COL002,35378586,USD,EQUION ENERGIA LIMITED,00629687,2015-12-31,1,"Includes gross oil royalties payments in kind as operator of joint venture of $25.2 million, and gas royalties payments in money of $ 10,1 million ",Extractives Report,"Equion Energia Limited has prepared the consolidated report on payments made to governments in relation to relevant activities of both Equion Energia Limited and any of its subsidiary undertakings included in the consolidated group accounts: Equion Energia Limited (Colombia Branch), Colombia Pipelines, Santiago Oil Company, Santiago Oil Company (Colombia Branch), Sento S.A.S., Proyectos ODC N1 S.A.S.",31 Oct 2016
Recetor ,COL003,14892296,USD,EQUION ENERGIA LIMITED,00629687,2015-12-31,1,,Extractives Report,"Equion Energia Limited has prepared the consolidated report on payments made to governments in relation to relevant activities of both Equion Energia Limited and any of its subsidiary undertakings included in the consolidated group accounts: Equion Energia Limited (Colombia Branch), Colombia Pipelines, Santiago Oil Company, Santiago Oil Company (Colombia Branch), Sento S.A.S., Proyectos ODC N1 S.A.S.",31 Oct 2016
Río Chitamena,COL004,754803,USD,EQUION ENERGIA LIMITED,00629687,2015-12-31,1,,Extractives Report,"Equion Energia Limited has prepared the consolidated report on payments made to governments in relation to relevant activities of both Equion Energia Limited and any of its subsidiary undertakings included in the consolidated group accounts: Equion Energia Limited (Colombia Branch), Colombia Pipelines, Santiago Oil Company, Santiago Oil Company (Colombia Branch), Sento S.A.S., Proyectos ODC N1 S.A.S.",31 Oct 2016
