Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Name for Department of Energy and Climate Change,GBR,314160,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for Oil and Gas Authority,GBR,16867,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
Name for HM Revenue & Customs,GBR,15955168,USD,JX Nippon Exploration and Production (U.K.) Limited,03288689,2015-12-31,1,,Extractives Report,,06 Dec 2016
