ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
PL 405B,NOR01,263007,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PL 406,NOR02,390701,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PL 407,NOR03,70973,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PL 438,NOR04,1002241,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PL 519,NOR05,186014,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PL 550,NOR06,1369984,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Production Licence 37,NAM01,126660,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PSC B (Chinguetti EEA),MRT04,257749,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Schooner,GBR11,434488,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
South Omo,ETH01,637409,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tchatamba,GAB09,9413126,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
TEN,GHA02,237263,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Thames,GBR12,17083,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Thurne,GBR13,42941,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tulipe Oil SA,GAB10,2121853,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Equatorial Guinea Limited,GNQ03,37380751,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Exploration & Production The Netherlands BV,NLD09,-5755167,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Ghana Limited,GHA03,3250962,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Group Services Limited,GBR14,7712109,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Guinea Limited,GIN02,59572,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Kenya BV,KEN06,8577,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Madagascar Limited,MDG03,105,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Mozambique Limited,MOZ01,830,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Norge AS,NOR07,-144867246,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Oil Gabon SA,GAB11,15775329,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Oil Limited,IRL01,-2918600,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow SA (Pty) Limited,ZAF01,505034,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Uganda Limited,UGA01,33683871,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Tullow Uganda Operation Pty Limited,UGA02,2386103,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Turnix,GAB12,1087775,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Walton Morant,JAM01,128261,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Wissey,GBR15,52441,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
