Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
DIAN,COL,1811000,USD,Perenco Oil & Gas Colombia Limited,01789505,2015-12-31,1,,Extractives Report,,17 Oct 2016
ANH,COL,636642,USD,Perenco Oil & Gas Colombia Limited,01789505,2015-12-31,1,,Extractives Report,,17 Oct 2016
Ecopetrol,COL,7583232,USD,Perenco Oil & Gas Colombia Limited,01789505,2015-12-31,1,,Extractives Report,,17 Oct 2016
