Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
HM Revenue & Customs,GBR,0,GBP,BURLINGTON RESOURCES (IRISH SEA) LIMITED,03440053,2015-12-31,1,,Extractives Report,,10 Nov 2016
Department of Energy and Climate Change,GBR,822527,GBP,BURLINGTON RESOURCES (IRISH SEA) LIMITED,03440053,2015-12-31,1,,Extractives Report,,10 Nov 2016
