Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
MALAYSIA FEDERAL & STATE GOVERNMENTS,MYS,371201768,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 17,179 KBOE valued at fixed price ",Extractive Industry Reporting,,18 Apr 2016
MALAYSIA FEDERAL & STATE GOVERNMENTS,MYS,265687689,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 4,948 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
MARSICO NUOVO MUNICIPALITY,ITA,751340,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MARSICOVETERE MUNICIPALITY,ITA,250447,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MAYO COUNTY COUNCIL,IRL,564653,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MIKISEW CREE FIRST NATION TRUST,CAN,865771,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MIKISEW CREE GOVERNMENT,CAN,283331,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MINISTER OF FINANCE,CAN,1447100,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MINISTERIO DA FAZENDA,BRA,66546148,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MINISTRY OF ECONOMIC DEVELOPMENT,NZL,65047905,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MINISTRY OF EMPLOY. & INVEST.,CAN,770691,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MONTEMURRO MUNICIPALITY,ITA,250447,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MUNICIPAL DISTRICT OF GREENVIEW NO.,CAN,581296,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
NIGER DELTA DEVELOPMENT COMMISSION,NGA,46946550,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
NIGERIAN NATIONAL PETROLEUM CORPORATION,NGA,3607646387,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 114,069 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
OFFICE OF NATURAL RESOURCES REVENUE,USA,539110822,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
OLJEDIREKTORATET,NOR,10492924,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
OMAN - MINISTRY OF FINANCE,OMN,2089920954,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
OMAN - MINISTRY OF FINANCE,OMN,23003630,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 442 KBOE valued at government selling price ,Extractive Industry Reporting,,18 Apr 2016
PA DEPARTMENT OF TRANSPORTATION,USA,700000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PEACE HILLS TRUST COMPANY - WOODLAND CREE FIRST NATION,CAN,3872603,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PETORO AS,NOR,1892922939,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 45,330 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
PETROLEO BRASILEIRO S A,BRA,262162,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PETROLIAM NASIONAL BERHAD,MYS,175732278,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PETROLIAM NASIONAL BERHAD,MYS,1490806283,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 66,716 KBOE valued at fixed price ",Extractive Industry Reporting,,18 Apr 2016
PETROLIAM NASIONAL BERHAD,MYS,482567042,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 9,563 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
PETRONAS CARIGALI SDN BHD (KL),MYS,3482445,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PETRONAS CARIGALI SDN BHD (KL),MYS,884382103,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 41,435 KBOE valued at fixed price ",Extractive Industry Reporting,,18 Apr 2016
PETRONAS CARIGALI SDN BHD (KL),MYS,565725964,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 10,333 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
PNOC EXPLORATION CORPORATION,PHL,92466143,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PROVINCIA DE SALTA - DIRECCIÓN DE RECURSOS TRIBUTARIOS ENERGETICOS,ARG,5338345,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PROVINCIA DEL NEUQUEN ADMINISTRACIO - MINISTERIO DE ECONOMIA,ARG,236684,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PROVINCIAL TREASURER OF ALBERTA,CAN,26204584,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
QATAR PETROLEUM,QAT,973181830,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
RAS LAFFAN INDUSTRIAL CITY,QAT,16475980,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
RECEIVER GENERAL FOR CANADA,CAN,15852451,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ROYAL TRUST CORPORATION OF CANADA - FORT MCKAY FIRST NATION,CAN,2164413,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SHAANXI PROVINCE OFFICE OF STATE ADMINISTRATION OF TAXATION,CHN,7686464,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 205 KBOE valued at government selling price ,Extractive Industry Reporting,,18 Apr 2016
SICHUAN PROVINCIAL OFFICE OF STATE ADMINISTRATION OF TAXATION,CHN,922004,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 24 KBOE valued at government selling price ,Extractive Industry Reporting,,18 Apr 2016
SKATTE OG AVGIFTSREGNSKAP,NOR,1135199247,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SKATTEOPPKREVEREN I SOLA,NOR,2153200,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SOUTH OIL COMPANY,IRQ,1335946438,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 30,844 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
SOUTH OIL COMPANY,IRQ,23303080,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 485 KBOE valued at market price ,Extractive Industry Reporting,,18 Apr 2016
STATE OF LOUISIANA,USA,-9759083,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
STATE OF PENNSYLVANIA,USA,220000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
STATE OF TEXAS,USA,22337035,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
STATE OF WYOMING,USA,19407697,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
STATOIL ASA,NOR,1115666182,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 27,632 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
SUCKER CREEK FIRST NATION,CAN,243922,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SUSQUEHANNA RIVER BASIN COMMISSION,USA,758579,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
TESORERIA PROVINCIALE DELLO STATO,ITA,133991908,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
TEXAS GENERAL LAND OFFICE,USA,452264,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
THE UNIVERSITY OF TEXAS SYSTEM,USA,773220,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
TRESORIER PAY.GEN. DU GABON,GAB,148391361,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
VIGGIANO MUNICIPALITY,ITA,6949895,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
YELLOWHEAD COUNTY,CAN,262426,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ALBERTA PETROLEUM MARKETING COMMISSION,CAN,-657433,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ALBERTA PETROLEUM MARKETING COMMISSION,CAN,136536,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 4 KBOE valued at government selling price ,Extractive Industry Reporting,,18 Apr 2016
DANISH ENERGY AGENCY,DNK,30576894,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
KIPOHTAKAW MANAGEMENT CORP - ALEXANDER FIRST NATION,CAN,359982,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
TAX AUTHORITIES,DNK,545571528,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
TAX AUTHORITIES HAMBURG,DEU,4404123,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MINISTRY OF ENERGY AND MINERAL RESOURCES,JOR,3000000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
