ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
-,Chinarevskoye,KAZ,ProductionEntitlements,-,0,-,USD,6985642,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
-,Chinarevskoye,KAZ,Tax,-,0,-,USD,40695269,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
-,Chinarevskoye,KAZ,Royalties,-,0,-,USD,17142173,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
-,Chinarevskoye,KAZ,Fees,-,0,-,USD,1030928,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
-,Chinarevskoye,KAZ,Infrastructure,-,0,-,USD,300000,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
-,Rostoshinkoye,KAZ,Infrastructure,-,0,-,USD,300000,Nostrum Oil & Gas PLC,08717287,-,Extractives Report,2015-12-31,1,-,08 Aug 2016
