Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Department of Energy and Climate Change,GBR,645745,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
Oil and Gas Authority,GBR,135487,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
HM Revenue & Customs,GBR,11066119,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
