ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
PM8,not assigned,56967147,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Tanjong Baram,not assigned,100000,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Kraken,not assigned,498491,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Alma & Galia,not assigned,149663,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Kittiwake,not assigned,884459,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Alba,not assigned,-4539623,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Kildrummy,not assigned,149202,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
Corporate,not assigned,7410628,USD,EnQuest PLC,07140891,2015-12-31,1,,Extractives Report,,30 Jun 2016
